"Name","Rang"
"Nvidia GTX 980 SLI","108"
"Nvidia GeForce GTX 1080","128"
"Nvidia GeForce GTX1080","128"
"Nvidia GeForce GTX 980 ","178"
"Nvidia GeForce GTX 1070","180"
"Nvidia GeForce GTX 1070M","180"
"AMD Radeon RX 580","223"
"Nvidia GeForce GTX 1060","239"
"Nvidia GeForce GTX1060","239"
"Nvidia GeForce GTX 980M","272"
"Nvidia GeForce GTX 960","314"
"Nvidia GeForce GTX 960<U+039C>","314"
"Nvidia GeForce GTX 1050 Ti","320"
"Nvidia GeForce GTX 1050M","320"
"Nvidia GeForce GTX 1050Ti","320"
"Nvidia GeForce GTX1050 Ti","320"
"Nvidia GeForce GTX 970M","326"
"Nvidia Quadro 3000M","333"
"Nvidia Quadro M3000M","333"
"Nvidia GeForce GTX 940MX","352"
"Nvidia GeForce GTX 1050","377"
"AMD Radeon RX 560","382"
"Nvidia Quadro M2200","387"
"Nvidia Quadro M2200M","387"
"Nvidia GeForce GTX 965M","421"
"AMD Radeon Pro 560","446"
"Nvidia Quadro M2000M","448"
"Nvidia GeForce GT 940MX","452"
"Nvidia GeForce GTX 940M","452"
"Nvidia GeForce 960M","453"
"Nvidia GeForce GTX 960M","453"
"Nvidia Quadro M1200","462"
"AMD Radeon Pro 555","475"
"AMD Radeon Pro 455","476"
"Nvidia Quadro M1000M","495"
"Nvidia Quadro M620","501"
"Nvidia Quadro M620M","501"
"AMD Radeon RX 540","506"
"AMD Radeon RX 550","517"
"Nvidia GeForce GTX 930MX","526"
"Nvidia GeForce GTX 950M","526"
"AMD FirePro W6150M","546"
"Nvidia GeForce 150MX","552"
"Nvidia GeForce MX150","552"
"AMD Radeon R9 M385","574"
"Nvidia Quadro M520M","600"
"Nvidia GeForce MX130","602"
"Intel Iris Pro Graphics","604"
"Intel Iris Plus Graphics 650","612"
"Nvidia GeForce 940MX","654"
"Intel Iris Plus Graphics 640","660"
"AMD FirePro W5130M","673"
"Intel Iris Graphics 550","675"
"AMD Radeon 540","682"
"Nvidia GeForce 930MX","695"
"Nvidia GeForce 930MX ","695"
"Intel Iris Graphics 540","720"
"Nvidia Quadro M500M","730"
"AMD FirePro W4190M","731"
"AMD FirePro W4190M ","731"
"Nvidia GeForce 940M","742"
"AMD Radeon R7 M465","749"
"AMD Radeon R7 M460","752"
"Nvidia GeForce 920MX","756"
"Nvidia GeForce 920MX ","756"
"AMD Radeon R5 430","769"
"Intel UHD Graphics 620","770"
"AMD Radeon 530","774"
"Nvidia GeForce 930M","776"
"Intel HD Graphics 530","780"
"AMD Radeon R5 520","786"
"AMD Radeon R7 M445","795"
"Intel Graphics 620","798"
"Intel HD Graphics 620","798"
"Intel HD Graphics 620 ","798"
"AMD Radeon R7 M440","806"
"Intel HD Graphics 6000","811"
"Intel HD Graphics 520","818"
"AMD Radeon 520","835"
"AMD Radeon R7 M365X","841"
"Nvidia GeForce 920","866"
"Nvidia GeForce 920M","866"
"Intel HD Graphics 615","867"
"AMD Radeon R5 M430","892"
"AMD Radeon R5 M330","924"
"AMD Radeon R7 M360","937"
"Intel HD Graphics 540","942"
"ARM Mali T860 MP4","950"
"Intel HD Graphics 510","962"
"Intel HD Graphics 515","966"
"AMD Radeon R5","993"
"AMD Radeon R5 M420","993"
"AMD Radeon R5 M420X","993"
"AMD Radeon R5 M315","1005"
"Intel HD Graphics 5300","1008"
"Intel HD Graphics 400","1036"
"Intel HD Graphics 505","1086"
"Intel HD Graphics","1114"
"Intel HD Graphics 500","1114"
"Intel HD Graphics 405","1120"
"AMD Radeon R3","1130"
"AMD Radeon R4 Graphics","1130"
"AMD R4 Graphics","1140"
"AMD Radeon R2","1140"
"AMD Radeon R7 Graphics","1140"
"AMD R17M-M1-70","1150"
"AMD Radeon R7","1150"
"AMD Radeon R2 Graphics","1160"
"Intel HD Graphics 630","1160"
"AMD Radeon R4","1170"
